"Sr No.","Id","Title","Description","Availability","Condition","Price","Link","Image Link","Brand","Google Product Category","FB Product Category","Quantity To Sell On Facebook","Sale Price","Sale Price Effective_Date","Item Group Id","Gender","Color","Size","Age_Group","Material","Pattern","Shipping","Shipping Weight","Offer Disclaimer","Offer Disclaimer Url","Video Url","Video Tag","GTIN","Product Pages","Product Tags","Style"
"89","DR2413","Orgenza Printed Maxi Gown With Embellished Belt","Orgenza Printed Maxi Gown With Embellished Belt","Yes","No","2699INR","https://vasvi.in/DR2413/orgenza-printed-maxi-gown-with-embellished-belt-69747b13463c0","https://vasvi.in/uploads/products/variant_18_68b1c04e87d6e.jpg","VASVI","Women","Women","50","2699INR","","JJ-10159","unisex","","","","","","","250 grm","","","","","","","",""
"90","DR2407","Floral Printed V-Neck Bell Sleeves Tiered Detail Cotton Fit and Flare Dress","Floral Printed V-Neck Bell Sleeves Tiered Detail Cotton Fit and Flare Dress","Yes","No","1399INR","https://vasvi.in/DR2407/floral-printed-v-neck-bell-sleeves-tiered-detail-cotton-fit-and-flare-dress-69747aa903434","https://vasvi.in/uploads/products/variant_4_68b1c0ef7fc0d.jpg","VASVI","Women","Women","50","1399INR","","JJ-10160","unisex","","","","","","","250 grm","","","","","","","",""
"91","DR2371","Floral Printed Gathered Cotton Fit & Flare Midi Dress","Floral Printed Gathered Cotton Fit & Flare Midi Dress","Yes","Yes","1449INR","https://vasvi.in/DR2371/floral-printed-gathered-cotton-fit-flare-midi-dress-6921b4eadf7d1","https://vasvi.in/uploads/settings/FEB2026/1770814794-settings.png","VASVI","Factory Outlet","Factory Outlet","50","1449INR","","JJ-10161","unisex","","","","","","","250 grm","","","","","","","",""
"92","DR2350","Rayon Printed & Embroidered Fit & Flare Ethnic Dress","Rayon Printed & Embroidered Fit & Flare Ethnic Dress","Yes","No","2499INR","https://vasvi.in/DR2350/rayon-printed-embroidered-fit-flare-ethnic-dress-698ac15516f82","https://vasvi.in/uploads/products/variant_18_68b1c43f760b9.jpg","VASVI","Women","Women","49","2499INR","","JJ-10162","unisex","","","","","","","250 grm","","","","","","","",""
"93","DR2323","Cotton Printed Flared Midi Ethnic Dress","VASVI Printed Cotton Flared Midi Ethnic Dress","Yes","No","2649INR","https://vasvi.in/DR2323/cotton-printed-flared-midi-ethnic-dress-68b1c8a45af61","https://vasvi.in/uploads/settings/FEB2026/1770814794-settings.png","VASVI","Women","Women","50","2649INR","","JJ-10164","unisex","","","","","","","250 grm","","","","","","","",""
"94","DR2287","Crepe Printed Fit & Flared Maxi Ethnic Dress","Crepe Printed Fit & Flared Maxi Ethnic Dress","Yes","No","1249INR","https://vasvi.in/DR2287/crepe-printed-fit-flared-maxi-ethnic-dress-692146d51e083","https://vasvi.in/uploads/products/variant_40_68b1cb9612532.jpg","VASVI","Factory Outlet","Factory Outlet","50","1249INR","","JJ-10166","unisex","","","","","","","250 grm","","","","","","","",""
"95","DR2286","Lurex Ethnic Motifs Print Puff Sleeve A-Line Midi Dress","Lurex Ethnic Motifs Print Puff Sleeve A-Line Midi Dress","Yes","No","1289INR","https://vasvi.in/DR2286/lurex-ethnic-motifs-print-puff-sleeve-a-line-midi-dress-6921465fb48e8","https://vasvi.in/uploads/settings/FEB2026/1770814794-settings.png","VASVI","Factory Outlet","Factory Outlet","50","1289INR","","JJ-10167","unisex","","","","","","","250 grm","","","","","","","",""
"96","DR2183","Orgenza Floral Printed Fit and Flare Midi Dress","VASVI Women Floral Printed Fit and Flare Midi Dress","Yes","No","1999INR","https://vasvi.in/DR2183/orgenza-floral-printed-fit-and-flare-midi-dress-697479cabd72b","https://vasvi.in/uploads/products/variant_4_68b1cdc0e4caf.jpg","VASVI","Women","Women","49","1999INR","","JJ-10168","unisex","","","","","","","250 grm","","","","","","","",""
"97","DR1926","Cotton Ethnic Motifs Print A-Line Midi Dress","Poly Satin Ethnic Motifs Print A-Line Midi Dress","Yes","Yes","1699INR","https://vasvi.in/DR1926/cotton-ethnic-motifs-print-a-line-midi-dress-6921b467aabe4","https://vasvi.in/uploads/settings/FEB2026/1770814794-settings.png","VASVI","Factory Outlet","Factory Outlet","50","1699INR","","JJ-10171","unisex","","","","","","","250 grm","","","","","","","",""
"98","DR06751","Ikkat Embroidered Maxi Ethnic Dress","Ikkat Embroidered Maxi Ethnic Dress","Yes","No","1439INR","https://vasvi.in/DR06751/ikkat-embroidered-maxi-ethnic-dress-69215b6be349e","https://vasvi.in/uploads/settings/FEB2026/1770814794-settings.png","VASVI","Factory Outlet","Factory Outlet","50","1439INR","","JJ-10174","unisex","","","","","","","250 grm","","","","","","","",""
